Fecha;Hora;Usuario;Tabla;Funcion;Accion;id_registro 
7/2/2018;15:19:0;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/cultivos/cul_reg_rcp.jsp
7/2/2018;15:19:36;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/menu/index.jsp
7/2/2018;15:19:38;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/cultivos/cul_reg_rcp.jsp
7/2/2018;15:19:54;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/menu/index.jsp
7/2/2018;15:19:55;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/cultivos/cul_reg_rcp.jsp
7/2/2018;15:20:11;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/menu/index.jsp
7/2/2018;15:20:12;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/cultivos/cul_reg_rcp.jsp
7/2/2018;15:23:59;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/menu/index.jsp
7/2/2018;15:24:0;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/cultivos/cul_reg_rcp.jsp
7/2/2018;15:30:2;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/menu/index.jsp
7/2/2018;15:30:3;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/pecuarios/pec_reg_rpp.jsp
